item_code,item,parent_raw_item_code,parent_raw_item,commodity_class,include
1746,Cattle and Buffaloes,,,livestock,TRUE
1749,Sheep and Goats,,,livestock,TRUE
1756,Live Animals,,,crop,TRUE
1773,Nuts,,,crop,TRUE
1782,Eggs,,,crop,TRUE
1788,Vegetable Oil and Fat,,,crop,TRUE
1802,Fruit,,,crop,TRUE
1844,Fats and Oils (excluding Butter),,,livestock,FALSE
1845,Non-edible Crude Materials,,,crop,TRUE
1846,Non-edible Fats and Oils,,,crop,TRUE
1847,Non-food,,,crop,TRUE
1881,"Dairy Products, milk equivalent",,,crop,TRUE
1882,Crops and livestock products,,,crop,TRUE
1885,Meat and Meat Preparations,,,livestock,FALSE
1886,Dairy Products and Eggs,,,crop,TRUE
1887,Dairy Products,,,crop,TRUE
1888,Cereals and Preparations,,,livestock,FALSE
1889,Fruit and Vegetables,,,crop,TRUE
1890,Sugar and Honey,,,crop,TRUE
1892,Fodder and Feeding Stuff,,,crop,TRUE
1895,Beverages,,,crop,TRUE
1896,Tobacco,,,crop,TRUE
1898,Hides and skins,,,livestock,FALSE
1899,Oilseeds,,,crop,TRUE
1900,Natural Rubber,,,crop,TRUE
1901,Textile Fibres,,,crop,TRUE
1902,Crude Materials nes,,,crop,TRUE
1907,Alcoholic Beverages,,,crop,TRUE
1908,Non-alcoholic Beverages,,,crop,TRUE
1941,Cereal preparations total,,,livestock,FALSE
1944,Cereals,,,crop,TRUE
1954,Pulses,,,crop,TRUE
1975,Animal Fats and Oils (excl. Butter),,,livestock,FALSE
1982,Food Excluding Fish,,,crop,TRUE
2029,Poultry Birds,,,livestock,TRUE
2071,Bovine Meat,,,crop,TRUE
2073,Pigmeat (meat equivalent),,,crop,TRUE
2074,Poultry Meat,,,crop,TRUE
